company,older_year,newer_year,older_file,newer_file,top_increase,top_decrease,regulation,financial,market,operations,technology
AVGO,2021,2022,AVGO_10-K_2021-12-17_0001730168-21-000153.html,AVGO_10-K_2022-12-16_0001730168-22-000118.html,regulation,regulation,0,0,0,0,0
AVGO,2022,2023,AVGO_10-K_2022-12-16_0001730168-22-000118.html,AVGO_10-K_2023-12-14_0001730168-23-000096.html,regulation,regulation,0,0,0,0,0
AVGO,2023,2024,AVGO_10-K_2023-12-14_0001730168-23-000096.html,AVGO_10-K_2024-12-20_0001730168-24-000139.html,regulation,financial,0,-2,0,-1,0
AVGO,2024,2025,AVGO_10-K_2024-12-20_0001730168-24-000139.html,AVGO_10-K_2025-12-18_0001730168-25-000121.html,regulation,regulation,0,0,0,0,0
BRK-B,2017,2018,BRK-B_10-K_2017-02-27_0001193125-17-056969.html,BRK-B_10-K_2018-02-26_0001193125-18-057033.html,technology,financial,-10,-227,-145,-19,-1
BRK-B,2018,2019,BRK-B_10-K_2018-02-26_0001193125-18-057033.html,BRK-B_10-K_2019-02-25_0001193125-19-048926.html,regulation,technology,3,0,-1,2,-2
BRK-B,2019,2020,BRK-B_10-K_2019-02-25_0001193125-19-048926.html,BRK-B_10-K_2020-02-24_0001564590-20-005874.html,regulation,market,3,1,0,0,0
BRK-B,2020,2021,BRK-B_10-K_2020-02-24_0001564590-20-005874.html,BRK-B_10-K_2021-03-01_0001564590-21-009611.html,operations,technology,0,0,2,3,-1
BRK-B,2021,2022,BRK-B_10-K_2021-03-01_0001564590-21-009611.html,BRK-B_10-K_2022-02-28_0001564590-22-007322.html,regulation,market,2,0,-2,1,0
BRK-B,2022,2023,BRK-B_10-K_2022-02-28_0001564590-22-007322.html,BRK-B_10-K_2023-02-27_0000950170-23-004451.html,financial,regulation,-37,40,5,-15,-5
BRK-B,2023,2024,BRK-B_10-K_2023-02-27_0000950170-23-004451.html,BRK-B_10-K_2024-02-26_0000950170-24-019719.html,market,operations,1,-1,24,-5,0
BRK-B,2024,2025,BRK-B_10-K_2024-02-26_0000950170-24-019719.html,BRK-B_10-K_2025-02-24_0000950170-25-025210.html,market,operations,1,-2,8,-6,0
BRK-B,2025,2026,BRK-B_10-K_2025-02-24_0000950170-25-025210.html,BRK-B_10-K_2026-03-02_0001193125-26-083899.html,market,financial,-2,-8,5,2,1
GOOGL,2023,2024,GOOGL_10-K_2023-02-03_0001652044-23-000016.html,GOOGL_10-K_2024-01-31_0001652044-24-000022.html,regulation,regulation,0,0,0,0,0
GOOGL,2024,2025,GOOGL_10-K_2024-01-31_0001652044-24-000022.html,GOOGL_10-K_2025-02-05_0001652044-25-000014.html,regulation,regulation,0,0,0,0,0
GOOGL,2025,2026,GOOGL_10-K_2025-02-05_0001652044-25-000014.html,GOOGL_10-K_2026-02-05_0001652044-26-000018.html,regulation,regulation,0,0,0,0,0
JNJ,2018,2019,JNJ_10-K_2018-02-21_0000200406-18-000005.html,JNJ_10-K_2019-02-20_0000200406-19-000009.html,market,regulation,-2,0,1,0,0
JNJ,2019,2020,JNJ_10-K_2019-02-20_0000200406-19-000009.html,JNJ_10-K_2020-02-18_0000200406-20-000010.html,regulation,financial,8,0,2,2,0
JNJ,2020,2021,JNJ_10-K_2020-02-18_0000200406-20-000010.html,JNJ_10-K_2021-02-22_0000200406-21-000008.html,regulation,market,5,2,-2,1,0
JNJ,2021,2022,JNJ_10-K_2021-02-22_0000200406-21-000008.html,JNJ_10-K_2022-02-17_0000200406-22-000022.html,regulation,financial,1,-1,-1,0,1
JNJ,2022,2023,JNJ_10-K_2022-02-17_0000200406-22-000022.html,JNJ_10-K_2023-02-16_0000200406-23-000016.html,market,regulation,-1,1,2,-1,0
JNJ,2023,2024,JNJ_10-K_2023-02-16_0000200406-23-000016.html,JNJ_10-K_2024-02-16_0000200406-24-000013.html,operations,technology,35,22,30,48,17
JNJ,2024,2025,JNJ_10-K_2024-02-16_0000200406-24-000013.html,JNJ_10-K_2025-02-13_0000200406-25-000038.html,technology,operations,-27,-22,-33,-49,-15
JNJ,2025,2026,JNJ_10-K_2025-02-13_0000200406-25-000038.html,JNJ_10-K_2026-02-11_0000200406-26-000016.html,financial,regulation,-1,2,1,0,0
LLY,2022,2023,LLY_10-K_2022-02-23_0000059478-22-000068.html,LLY_10-K_2023-02-22_0000059478-23-000082.html,operations,market,0,1,-1,2,0
LLY,2023,2024,LLY_10-K_2023-02-22_0000059478-23-000082.html,LLY_10-K_2024-02-21_0000059478-24-000065.html,technology,regulation,-8,-4,-3,-7,-2
LLY,2024,2025,LLY_10-K_2024-02-21_0000059478-24-000065.html,LLY_10-K_2025-02-19_0000059478-25-000067.html,regulation,regulation,0,0,0,0,0
LLY,2025,2026,LLY_10-K_2025-02-19_0000059478-25-000067.html,LLY_10-K_2026-02-12_0000059478-26-000013.html,regulation,regulation,0,0,0,0,0
META,2025,2026,META_10-K_2025-01-30_0001326801-25-000017.html,META_10-K_2026-01-29_0001628280-26-003942.html,technology,regulation,-36,-5,-6,-6,-1
MSFT,2020,2021,MSFT_10-K_2020-07-30_0001564590-20-034944.html,MSFT_10-K_2021-07-29_0001564590-21-039151.html,regulation,regulation,0,0,0,0,0
MSFT,2021,2022,MSFT_10-K_2021-07-29_0001564590-21-039151.html,MSFT_10-K_2022-07-28_0001564590-22-026876.html,regulation,regulation,0,0,0,0,0
MSFT,2022,2023,MSFT_10-K_2022-07-28_0001564590-22-026876.html,MSFT_10-K_2023-07-27_0000950170-23-035122.html,regulation,regulation,0,0,0,0,0
MSFT,2023,2024,MSFT_10-K_2023-07-27_0000950170-23-035122.html,MSFT_10-K_2024-07-30_0000950170-24-087843.html,regulation,regulation,0,0,0,0,0
MSFT,2024,2025,MSFT_10-K_2024-07-30_0000950170-24-087843.html,MSFT_10-K_2025-07-30_0000950170-25-100235.html,regulation,regulation,0,0,0,0,0
NVDA,2021,2022,NVDA_10-K_2021-02-26_0001045810-21-000010.html,NVDA_10-K_2022-03-18_0001045810-22-000036.html,regulation,market,5,3,-2,1,0
NVDA,2022,2023,NVDA_10-K_2022-03-18_0001045810-22-000036.html,NVDA_10-K_2023-02-24_0001045810-23-000017.html,operations,regulation,-9,-2,-1,0,0
NVDA,2023,2024,NVDA_10-K_2023-02-24_0001045810-23-000017.html,NVDA_10-K_2024-02-21_0001045810-24-000029.html,operations,technology,-1,-2,0,1,-3
NVDA,2024,2025,NVDA_10-K_2024-02-21_0001045810-24-000029.html,NVDA_10-K_2025-02-26_0001045810-25-000023.html,technology,financial,1,0,0,0,3
NVDA,2025,2026,NVDA_10-K_2025-02-26_0001045810-25-000023.html,NVDA_10-K_2026-02-25_0001045810-26-000021.html,financial,regulation,0,7,5,1,3
TSLA,2019,2020,TSLA_10-K_2019-02-19_0001564590-19-003165.html,TSLA_10-K_2020-02-13_0001564590-20-004475.html,market,operations,6,4,15,-2,5
TSLA,2020,2021,TSLA_10-K_2020-02-13_0001564590-20-004475.html,TSLA_10-K_2021-02-08_0001564590-21-004599.html,operations,regulation,-8,-4,-5,3,0
TSLA,2021,2022,TSLA_10-K_2021-02-08_0001564590-21-004599.html,TSLA_10-K_2022-02-07_0000950170-22-000796.html,financial,market,2,6,-2,3,-2
TSLA,2022,2023,TSLA_10-K_2022-02-07_0000950170-22-000796.html,TSLA_10-K_2023-01-31_0000950170-23-001409.html,technology,financial,1,-5,-3,-4,2
TSLA,2023,2024,TSLA_10-K_2023-01-31_0000950170-23-001409.html,TSLA_10-K_2024-01-29_0001628280-24-002390.html,market,regulation,-1,0,6,2,0
TSLA,2024,2025,TSLA_10-K_2024-01-29_0001628280-24-002390.html,TSLA_10-K_2025-01-30_0001628280-25-003063.html,regulation,financial,2,0,0,1,2
TSLA,2025,2026,TSLA_10-K_2025-01-30_0001628280-25-003063.html,TSLA_10-K_2026-01-29_0001628280-26-003952.html,regulation,market,8,1,-4,-2,-1
V,2014,2015,V_10-K_2014-11-21_0001403161-14-000017.html,V_10-K_2015-11-20_0001403161-15-000013.html,financial,regulation,-1,20,8,2,5
V,2015,2016,V_10-K_2015-11-20_0001403161-15-000013.html,V_10-K_2016-11-15_0001403161-16-000058.html,technology,financial,-7,-17,-2,0,7
V,2016,2017,V_10-K_2016-11-15_0001403161-16-000058.html,V_10-K_2017-11-17_0001403161-17-000044.html,financial,operations,3,13,1,0,5
V,2017,2018,V_10-K_2017-11-17_0001403161-17-000044.html,V_10-K_2018-11-16_0001403161-18-000055.html,market,financial,1,-2,4,1,-2
V,2018,2019,V_10-K_2018-11-16_0001403161-18-000055.html,V_10-K_2019-11-14_0001403161-19-000050.html,technology,regulation,-2,3,1,-2,11
V,2019,2020,V_10-K_2019-11-14_0001403161-19-000050.html,V_10-K_2020-11-19_0001403161-20-000070.html,operations,technology,-2,-2,-4,0,-23
V,2020,2021,V_10-K_2020-11-19_0001403161-20-000070.html,V_10-K_2021-11-18_0001403161-21-000060.html,technology,market,2,-2,-6,0,7
V,2021,2022,V_10-K_2021-11-18_0001403161-21-000060.html,V_10-K_2022-11-16_0001403161-22-000081.html,financial,technology,-1,1,-1,0,-2
V,2022,2023,V_10-K_2022-11-16_0001403161-22-000081.html,V_10-K_2023-11-15_0001403161-23-000099.html,financial,technology,160,184,116,56,22
V,2023,2024,V_10-K_2023-11-15_0001403161-23-000099.html,V_10-K_2024-11-13_0001403161-24-000058.html,technology,financial,-37,-150,-76,-34,1
V,2024,2025,V_10-K_2024-11-13_0001403161-24-000058.html,V_10-K_2025-11-06_0001403161-25-000089.html,regulation,technology,11,-7,-7,-14,-18
WMT,2023,2024,WMT_10-K_2023-03-17_0000104169-23-000020.html,WMT_10-K_2024-03-15_0000104169-24-000056.html,regulation,regulation,0,0,0,0,0
WMT,2024,2025,WMT_10-K_2024-03-15_0000104169-24-000056.html,WMT_10-K_2025-03-14_0000104169-25-000021.html,regulation,regulation,0,0,0,0,0
WMT,2025,2026,WMT_10-K_2025-03-14_0000104169-25-000021.html,WMT_10-K_2026-03-13_0000104169-26-000055.html,regulation,regulation,0,0,0,0,0
XOM,2020,2021,XOM_10-K_2020-02-26_0000034088-20-000016.html,XOM_10-K_2021-02-24_0000034088-21-000012.html,regulation,financial,6,0,0,2,1
XOM,2021,2022,XOM_10-K_2021-02-24_0000034088-21-000012.html,XOM_10-K_2022-02-23_0000034088-22-000011.html,financial,regulation,0,1,0,0,0
XOM,2022,2023,XOM_10-K_2022-02-23_0000034088-22-000011.html,XOM_10-K_2023-02-22_0000034088-23-000020.html,regulation,regulation,0,0,0,0,0
XOM,2023,2024,XOM_10-K_2023-02-22_0000034088-23-000020.html,XOM_10-K_2024-02-28_0000034088-24-000018.html,market,regulation,-2,-1,0,0,-1
XOM,2024,2025,XOM_10-K_2024-02-28_0000034088-24-000018.html,XOM_10-K_2025-02-19_0000034088-25-000010.html,financial,regulation,-4,0,0,-2,0
XOM,2025,2026,XOM_10-K_2025-02-19_0000034088-25-000010.html,XOM_10-K_2026-02-18_0000034088-26-000045.html,regulation,regulation,0,0,0,0,0
